method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random,sensor_dropout,0,0.0,-50.0,0.0,0.076125382301234,50,1.433067798614502,1.0739351511001587,1.0,0.0,0
random_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.3081054891871996,50,1.2283132076263428,0.890215277671814,1.0,1.0,0
random,sensor_dropout,0,0.0,-50.0,0.0,0.1951795519706919,50,1.487553358078003,1.1163251399993896,1.0,0.0,1
random_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.1625229406444583,50,1.560697078704834,1.072784423828125,1.0,0.0,1
random,sensor_dropout,0,0.0,-50.0,0.0,0.1649888219033637,50,1.5967901945114136,1.1102241277694702,1.0,0.0,2
random_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.3122588684256509,50,1.1461777687072754,0.7937186360359192,0.0,1.0,2
random,sensor_dropout,0,0.0,-50.0,0.0,0.3025042723754898,50,1.494233250617981,1.086290717124939,1.0,0.0,3
random_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.1762073769062006,50,1.6093215942382812,1.0979915857315063,1.0,0.0,3
random,sensor_dropout,0,0.0,-50.0,0.0,0.3808210881682299,50,1.4782482385635376,1.0912288427352903,1.0,0.0,4
random_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.1706004629505123,50,1.6044615507125854,1.1170964241027832,1.0,0.0,4
random,sensor_dropout,0,0.0,-48.0,1.0,0.2113543878819909,50,1.7072412967681885,1.183294415473938,1.0,0.0,5
random_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.2638835793112113,50,1.3693366050720217,1.0062265396118164,1.0,1.0,5
random,sensor_dropout,0,0.0,-50.0,0.0,0.1345920317560988,50,1.419467568397522,1.08254873752594,1.0,0.0,6
random_recovery,sensor_dropout,0,0.0,-47.0,1.0,0.0689178422995091,50,1.618574142456055,1.1337072849273682,1.0,0.0,6
random,sensor_dropout,0,0.0,-50.0,0.0,0.2647817810674447,50,1.7425634860992432,1.1765317916870115,1.0,0.0,7
random_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.2764118708123603,50,1.1724920272827148,0.803290605545044,1.0,1.0,7
random,sensor_dropout,0,0.0,-50.0,0.0,0.4154137801422776,50,1.5556548833847046,1.1456376314163208,1.0,0.0,8
