Method,Condition,Attack Level,Success Rate,Avg Reward,Final Distance,Recovery Triggered Rate,Trustworthiness Score (Equal),Trustworthiness Score (Weighted)
Random,Action Clipping,0.3,0.133,-48.27,0.1644,,0.2533,0.1967
Random,Action Delay,0.0,0.033,-48.33,0.1456,,0.3996,0.348
Random,Action Reverse,0.0,0.2,-49.6,0.2167,,0.1796,0.1696
Random,Clean,0.0,0.233,-48.87,0.2284,,0.3,0.3867
Random,Goal Spoof (t=0),0.1,0.1,-49.77,0.2403,,0.1271,0.1221
Random,Goal Spoof (t=20),0.1,0.067,-49.6,0.2555,,0.1125,0.1092
Random,Sensor Bias,0.1,0.133,-49.47,0.2243,,0.1426,0.1359
Random,Sensor Dropout,0.0,0.133,-49.27,0.2406,,0.1407,0.134
Random + Recovery,Action Clipping,0.3,1.0,-6.73,0.0118,0.759,0.9672,0.9672
Random + Recovery,Action Delay,0.0,0.5,-31.3,0.0764,0.049,0.6979,0.6762
Random + Recovery,Action Reverse,0.0,1.0,-6.2,0.0037,0.961,0.9832,0.9865
Random + Recovery,Clean,0.0,1.0,-6.37,0.0034,0.957,0.975,0.98
Random + Recovery,Goal Spoof (t=0),0.1,0.067,-49.93,0.2314,0.285,0.2663,0.3179
Random + Recovery,Goal Spoof (t=20),0.1,0.2,-49.33,0.2325,0.363,0.3493,0.4076
Random + Recovery,Sensor Bias,0.1,0.233,-48.47,0.2212,0.273,0.3276,0.3726
Random + Recovery,Sensor Dropout,0.0,0.2,-48.77,0.2137,0.241,0.3135,0.3602
Rule-Based,Action Clipping,0.3,1.0,-7.1,0.0028,,0.7968,0.6968
Rule-Based,Action Delay,0.0,0.033,-48.33,0.1456,,0.3996,0.348
Rule-Based,Action Reverse,0.0,0.0,-50.0,1.2689,,0.0856,0.084
Rule-Based,Clean,0.0,1.0,-5.23,0.0028,,0.9978,0.9978
Rule-Based,Goal Spoof (t=0),0.1,0.467,-43.3,0.0811,,0.5747,0.5014
Rule-Based,Goal Spoof (t=20),0.1,1.0,-27.27,0.0875,,0.7863,0.6863
Rule-Based,Sensor Bias,0.1,1.0,-5.23,0.0028,,0.7989,0.6989
Rule-Based,Sensor Dropout,0.0,1.0,-5.23,0.0028,,0.7989,0.6989
Rule-Based + Recovery,Action Clipping,0.3,1.0,-7.1,0.0028,0.045,0.8368,0.7568
Rule-Based + Recovery,Action Delay,0.0,0.5,-31.3,0.0764,0.049,0.6979,0.6762
Rule-Based + Recovery,Action Reverse,0.0,1.0,-38.13,0.0658,0.502,0.9628,0.9678
Rule-Based + Recovery,Clean,0.0,1.0,-5.23,0.0028,0.059,0.9978,0.9978
Rule-Based + Recovery,Goal Spoof (t=0),0.1,0.3,-43.1,0.0946,0.005,0.5329,0.4812
Rule-Based + Recovery,Goal Spoof (t=20),0.1,1.0,-26.2,0.0813,0.0,0.7872,0.6872
Rule-Based + Recovery,Sensor Bias,0.1,1.0,-5.23,0.0028,0.0,0.7989,0.6989
Rule-Based + Recovery,Sensor Dropout,0.0,1.0,-5.23,0.0028,0.0,0.7989,0.6989
SAC (no HER),Action Clipping,0.3,1.0,-6.47,0.018,,0.7843,0.6843
SAC (no HER),Action Delay,0.0,0.033,-48.33,0.1456,,0.3996,0.348
SAC (no HER),Action Reverse,0.0,0.0,-50.0,1.2738,,0.0783,0.0783
SAC (no HER),Clean,0.0,1.0,-1.7,0.0179,,0.8216,0.8633
SAC (no HER),Goal Spoof (t=0),0.1,0.2,-46.7,0.0944,,0.2845,0.2695
SAC (no HER),Goal Spoof (t=20),0.1,1.0,-30.73,0.1025,,0.5934,0.54
SAC (no HER),Sensor Bias,0.1,0.167,-48.03,0.1729,,0.2535,0.2418
SAC (no HER),Sensor Dropout,0.0,0.033,-49.97,0.8759,,0.0927,0.091
SAC (no HER) + Recovery,Action Clipping,0.3,1.0,-6.47,0.0178,0.074,0.9664,0.9597
SAC (no HER) + Recovery,Action Delay,0.0,0.5,-31.3,0.0764,0.049,0.6979,0.6762
SAC (no HER) + Recovery,Action Reverse,0.0,1.0,-17.23,0.0058,0.88,0.7926,0.8426
SAC (no HER) + Recovery,Clean,0.0,1.0,-2.93,0.007,0.717,0.8264,0.868
SAC (no HER) + Recovery,Goal Spoof (t=0),0.1,0.267,-46.53,0.0989,0.002,0.344,0.3223
SAC (no HER) + Recovery,Goal Spoof (t=20),0.1,1.0,-27.83,0.096,0.0,0.5943,0.5409
SAC (no HER) + Recovery,Sensor Bias,0.1,0.3,-44.97,0.1593,0.138,0.3488,0.3454
SAC (no HER) + Recovery,Sensor Dropout,0.0,0.033,-49.97,0.7509,0.903,0.3093,0.4076
SAC+HER,Action Clipping,0.3,1.0,-6.47,0.018,,0.7843,0.6843
SAC+HER,Action Delay,0.0,0.033,-48.33,0.1456,,0.3996,0.348
SAC+HER,Action Reverse,0.0,0.0,-50.0,1.2738,,0.0783,0.0783
SAC+HER,Clean,0.0,1.0,-1.7,0.0179,,0.8216,0.8633
SAC+HER,Goal Spoof (t=0),0.1,0.233,-46.5,0.0895,,0.3119,0.2919
SAC+HER,Goal Spoof (t=20),0.1,1.0,-27.03,0.0942,,0.608,0.5513
SAC+HER,Sensor Bias,0.1,0.3,-45.4,0.183,,0.3122,0.2922
SAC+HER,Sensor Dropout,0.0,0.033,-49.97,0.8759,,0.0927,0.091
SAC+HER + Recovery,Action Clipping,0.3,1.0,-6.47,0.0178,0.074,0.9664,0.9597
SAC+HER + Recovery,Action Delay,0.0,0.5,-31.3,0.0764,0.049,0.6979,0.6762
SAC+HER + Recovery,Action Reverse,0.0,1.0,-17.23,0.0058,0.88,0.7926,0.8426
SAC+HER + Recovery,Clean,0.0,1.0,-2.93,0.007,0.717,0.8264,0.868
SAC+HER + Recovery,Goal Spoof (t=0),0.1,0.3,-44.9,0.1003,0.006,0.3837,0.3787
SAC+HER + Recovery,Goal Spoof (t=20),0.1,1.0,-26.5,0.0898,0.0,0.582,0.532
SAC+HER + Recovery,Sensor Bias,0.1,0.2,-46.43,0.1777,0.255,0.3397,0.353
SAC+HER + Recovery,Sensor Dropout,0.0,0.033,-49.97,0.7509,0.903,0.3093,0.4076
